locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fur,link
b4367,0.3309723164,fhuF,hydroxamate siderophore iron reductase,Function unknown,fhuF,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
b3337,0.22077217810000002,bfd,bacterioferritin-associated ferredoxin,Inorganic ion transport and metabolism,bfd-bfr,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11181
b3006,0.21203678010000002,exbB,Ton complex subunit ExbB,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10271
b0590,0.19401740050000002,fepD,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10296
b3005,0.1897741164,exbD,Ton complex subunit ExbD,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10272
b0591,0.1882487417,entS,enterobactin exporter EntS,Amino acid transport and metabolism,entS,"RpoD,YdhB,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11104
b0150,0.1854826215,fhuA,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10302
b4293,0.1797373808,fecI,RNA polymerase sigma factor FecI,Transcription,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10291
b0585,0.1770213197,fes,enterochelin esterase,Inorganic ion transport and metabolism,fes-ybdZ-entF-fepE,"RpoD,Fnr,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10299
b1252,0.1703187722,tonB,Ton complex subunit TonB,"Intracellular trafficking, secretion, and vesicular transport",tonB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11012
b4490,0.1492289852,efeU,inactive ferrous iron permease EfeU%2C N-terminal fragment,No COG annotation,,"RpoD,CpxR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6525
b4292,0.1484996878,fecR,regulator for fec operon%2C periplasmic,Inorganic ion transport and metabolism,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10292
b0592,0.1441800855,fepB,ferric enterobactin ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fepB,"RpoD,RutR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10294
b4511,0.14253077390000002,ybdZ,enterobactin biosynthesis protein YbdZ,Function unknown,fes-ybdZ-entF-fepE,"RpoD,H-NS,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10437
b0589,0.1423124023,fepG,ferric enterobactin ABC transporter membrane subunit FepG,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10298
b3408,0.1402593863,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b2211,0.13830818450000001,yojI,ABC transporter family protein/microcin J25 efflux protein,Inorganic ion transport and metabolism,yojI,"RpoD,YdcI,Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12070
b0588,0.1335289211,fepC,ferric enterobactin ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10295
b1452,0.13331770210000002,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b3409,0.1218414518,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,feoABC,"RpoD,YcjW,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b3908,0.1213829508,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b1705,0.11887991960000001,ydiE,PF10636 family protein YdiE,Inorganic ion transport and metabolism,ydiE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12391
b0593,0.1170432644,entC,isochorismate synthase EntC,Coenzyme transport and metabolism,entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10261
b0468,0.11682265850000001,ybaN,conserved inner membrane protein YbaN,Function unknown,ybaN,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12843
b0151,0.0961172861,fhuC,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10304
b3070,0.0954162825,nfeF,NADPH-dependent ferric chelate reductase,Inorganic ion transport and metabolism,yqjH,"RpoD,Fur,NfeR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7593
b1018,0.0825207455,efeO,ferrous iron transport system protein EfeO,Inorganic ion transport and metabolism,efeOB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6527
b0152,0.07722010950000001,fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10305
b3410,0.0657216008,feoC,ferrous iron transport protein FeoC,Transcription,feoABC,"RpoD,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12933
b4366,0.062448719900000005,bglJ,DNA-binding transcriptional regulator BglJ,Transcription,yjjQ-bglJ,"RpoD,LeuO,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7948
b2673,0.0588121587,nrdH,glutaredoxin-like protein,"Post-translational modification, protein turnover,and chaperones",nrdHIEF,"RpoD,YedW,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7401
b2106,0.0550377269,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",rcnAB,"RpoD,Fur,RcnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b4291,0.0545265609,fecA,ferric citrate outer membrane transporter,Inorganic ion transport and metabolism,fecABCDE,"PdhR,omrA,omrB,YfeD,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10286
