locus,gene_weight,gene_name,gene_product,cog,regulator,MmsR,RpoS,link
PA2366,0.1009810283,PA2366,uricase,Function unknown,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2366&e1=1&assembly=complete
PA1176,0.1008415171,napF,ferredoxin protein NapF,Energy production and conversion,RpoS,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1176&e1=1&assembly=complete
PA2365,0.0967076254,PA2365,hypothetical protein,Function unknown,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2365&e1=1&assembly=complete
PA3451,0.09626130690000001,PA3451,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3451&e1=1&assembly=complete
PA1041,0.0951517487,PA1041,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1041&e1=1&assembly=complete
PA2367,0.0939607442,PA2367,hypothetical protein,Function unknown,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2367&e1=1&assembly=complete
PA3416,0.09303944360000001,PA3416,pyruvate dehydrogenase E1 component subunit beta,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3416&e1=1&assembly=complete
PA2368,0.0910099721,PA2368,hypothetical protein,Function unknown,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2368&e1=1&assembly=complete
PA0177,0.0902874655,PA0177,purine-binding chemotaxis protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0177&e1=1&assembly=complete
PA0459,0.0870254359,PA0459,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0459&e1=1&assembly=complete
