locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CysB,link
b2762,0.2576251794,cysH,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,cysJIH,"RpoD,HypT,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b2763,0.180205738,cysI,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,cysJIH,"RpoD,CysB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2422,0.1645139703,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2750,0.15210460820000002,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,cysDNC,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b0832,0.117500589,gsiD,glutathione ABC transporter membrane subunit GsiD,Amino acid transport and metabolism,iaaA-gsiABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6432
b0831,0.10711358730000001,gsiC,glutathione ABC transporter membrane subunit GsiC,Amino acid transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6431
b2421,0.10641038380000001,cysM,cysteine synthase B,Amino acid transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b1287,-0.11146699110000001,yciW,putative oxidoreductase,Function unknown,yciW,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b2424,-0.1563140619,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b2425,-0.2323869202,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
