locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PchR,link
PA4224,0.27530986100000004,pchG,,pyochelin biosynthetic protein PchG,"Secondary metabolites biosynthesis, transport, and catabolism",PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4224&e1=1&assembly=complete
PA4225,0.264121728,pchF,,pyochelin synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4225&e1=1&assembly=complete
PA4226,0.261130646,pchE,,dihydroaeruginoic acid synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4226&e1=1&assembly=complete
PA4231,0.252734879,pchA,,salicylate biosynthesis isochorismate synthase,Coenzyme transport and metabolism,PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4231&e1=1&assembly=complete
PA4230,0.247385459,pchB,,isochorismate-pyruvate lyase,Amino acid transport and metabolism,PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4230&e1=1&assembly=complete
PA4229,0.24171572700000002,pchC,,pyochelin biosynthetic protein PchC,"Secondary metabolites biosynthesis, transport, and catabolism",PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4229&e1=1&assembly=complete
PA4223,0.241050859,PA4223,,ABC transporter ATP-binding protein,Defense mechanisms,PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4223&e1=1&assembly=complete
PA4228,0.23531325800000003,pchD,,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4228&e1=1&assembly=complete
PA4222,0.23155493200000002,PA4222,,ABC transporter ATP-binding protein,Defense mechanisms,PchR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4222&e1=1&assembly=complete
PA4221,0.22017947200000001,fptA,,Fe(III)-pyochelin outer membrane receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4221&e1=1&assembly=complete
PA4219,0.212304244,PA4219,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4219&e1=1&assembly=complete
PA4218,0.19820210600000002,PA4218,,transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4218&e1=1&assembly=complete
PA4220,0.182986418,PA4220,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4220&e1=1&assembly=complete
