locus,gene_weight,gene_name,gene_product,cog,regulator,CbrB,link
PA5314,0.1640763154,PA5314,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5314&e1=1&assembly=complete
PA2776,0.1612351126,PA2776,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2776&e1=1&assembly=complete
PA0265,0.1521682737,gabD,glutarate-semialdehyde dehydrogenase DavD,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0265&e1=1&assembly=complete
PA5313,0.1520329167,PA5313,omega amino acid--pyruvate transaminase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5313&e1=1&assembly=complete
PA0266,0.1458250405,PA0266,5-aminovalerate aminotransferase DavT,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0266&e1=1&assembly=complete
PA2041,0.14312133970000002,PA2041,amino acid permease,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2041&e1=1&assembly=complete
PA2040,0.14157722320000002,PA2040,glutamine synthetase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2040&e1=1&assembly=complete
PA5312,0.1401884508,PA5312,aldehyde dehydrogenase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5312&e1=1&assembly=complete
PA3356,0.1138641341,PA3356,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3356&e1=1&assembly=complete
PA0298,0.1117333067,spuB,glutamine synthetase,Amino acid transport and metabolism,"CbrB,CbrB,BauR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0298&e1=1&assembly=complete
PA0299,0.11076233690000001,spuC,aminotransferase,Amino acid transport and metabolism,"CbrB,CbrB,BauR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0299&e1=1&assembly=complete
PA5522,0.1089875453,PA5522,glutamine synthetase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5522&e1=1&assembly=complete
PA5309,0.10217324300000001,PA5309,oxidoreductase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5309&e1=1&assembly=complete
PA1742,0.1015222796,PA1742,amidotransferase,Nucleotide transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1742&e1=1&assembly=complete
PA0297,0.09878138930000001,spuA,glutamine amidotransferase,Function unknown,"CbrB,CbrB,BauR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0297&e1=1&assembly=complete
PA5523,0.0977775578,PA5523,aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5523&e1=1&assembly=complete
PA0296,0.0868722847,spuI,glutamine synthetase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0296&e1=1&assembly=complete
