locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoE,link
b3055,0.2060090959,ygiM,putative signal transduction protein (SH3 domain),Signal transduction mechanisms,ygiM-cca,"RpoE,Nac,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12434
b2419,0.2002835184,yfeK,protein YfeK,Function unknown,yfeKS,"RpoE,Nac,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7260
b2572,0.1793101068,rseA,anti-sigma factor,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,YbeF,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,DksA,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12341
b2573,0.17282560330000002,rpoE,RNA polymerase sigma E factor,Transcription,rseD-rpoE-rseABC,"RpoD,YfeD,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,CsrA,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11897
b0161,0.1684375448,degP,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover,and chaperones",degP,"RpoE,H-NS,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10463
b2571,0.12390436120000001,rseB,anti-sigma factor stabilizing protein RseB,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7348
b2570,0.1153553296,rseC,protein RseC,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,YdcN,RpoN,RpoE,RpoS,IHF,CpxR,Crp,RcsB,NtrC,GlrR,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7347
b1806,0.1094450971,yeaY,Slp family lipoprotein YeaY,Cell wall/membrane/envelope biogenesis,tsaB-yeaY,"RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6990
b3527,0.1058140218,yhjJ,peptidase M16 family protein,Function unknown,yhjJ,"RpoE,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12254
b1874,0.1013222825,cutC,protein CutC,Inorganic ion transport and metabolism,yecM-cutC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7024
b2420,0.099621948,yfeS,conserved protein YfeS,Function unknown,yfeKS,"RpoE,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7261
b1172,0.0934495763,ymgG,PF13488 family protein YmgG,Function unknown,ymgGD,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6612
b3267,0.08024726410000001,yhdV,lipoprotein YhdV,Function unknown,yhdV,"YdcI,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7695
b1481,0.0776307886,bdm,biofilm-dependent modulation protein,Function unknown,bdm-sra,RcsB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6776
b2432,0.07612300400000001,yfeY,DUF1131 domain-containing lipoprotein YfeY,Function unknown,yfeYX,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7267
b4026,-0.0926055353,yjbE,uncharacterized protein YjbE,No COG annotation,yjbEFGH,"RpoD,RcsAB,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11923
