locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PvdS,link
PA2412,0.24336558,PA2412,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2412&e1=1&assembly=complete
PA2386,0.24293583,pvdA,,L-ornithine N5-oxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2386&e1=1&assembly=complete
PA2411,0.233070984,PA2411,,thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2411&e1=1&assembly=complete
PA2413,0.21419198,pvdH,,diaminobutyrate--2-oxoglutarate aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2413&e1=1&assembly=complete
PA2425,0.20336068100000002,pvdG,,pyoverdine biosynthesis protein PvdG,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2425&e1=1&assembly=complete
PA2385,0.19892527000000002,pvdQ,,acyl-homoserine lactone acylase PvdQ,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2385&e1=1&assembly=complete
PA2424,0.191044917,pvdL,,peptide synthase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2424&e1=1&assembly=complete
PA2393,0.18842134,PA2393,,dipeptidase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2393&e1=1&assembly=complete
PA2394,0.185688713,pvdN,,pyoverdine biosynthesis protein PvdN,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2394&e1=1&assembly=complete
PA2392,0.183898729,pvdP,,pyoverdine biosynthesis protein PvdP,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2392&e1=1&assembly=complete
PA2395,0.18005816500000002,pvdO,,pyoverdine biosynthesis protein PvdO,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2395&e1=1&assembly=complete
PA2402,0.171600046,PA2402,,peptide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2402&e1=1&assembly=complete
PA2427,0.166317988,PA2427,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2427&e1=1&assembly=complete
PA2400,0.153893824,pvdJ,,pyoverdine biosynthesis protein PvdJ,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2400&e1=1&assembly=complete
PA2396,0.15341386,pvdF,,pyoverdine synthetase F,Nucleotide transport and metabolism,PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2396&e1=1&assembly=complete
PA2399,0.14898244,pvdD,,pyoverdine synthetase D,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2399&e1=1&assembly=complete
PA2426,0.13339662,pvdS,,extracytoplasmic-function sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2426&e1=1&assembly=complete
PA2384,0.115052705,PA2384,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2384&e1=1&assembly=complete
PA2397,0.10593457,pvdE,,pyoverdine biosynthesis protein PvdE,Inorganic ion transport and metabolism,PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2397&e1=1&assembly=complete
PA2389,0.105384949,pvdR,,pyoverdine biosynthesis protein PvdR,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2389&e1=1&assembly=complete
PA2391,0.097265524,opmQ,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2391&e1=1&assembly=complete
PA2390,0.091305804,pvdT,,pyoverdine biosynthesis protein PvdT,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2390&e1=1&assembly=complete
PA2531,0.075347074,PA2531,,aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2531&e1=1&assembly=complete
PA2398,0.06722236,fpvA,,ferripyoverdine receptor,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2398&e1=1&assembly=complete
PA4709,0.060901133,PA4709,,hemin degrading factor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4709&e1=1&assembly=complete
PA0707,0.055791268000000005,toxR,,transcriptional regulator ToxR,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0707&e1=1&assembly=complete
PA2403,0.053385998000000004,PA2403,,hypothetical protein,Function unknown,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2403&e1=1&assembly=complete
