locus,comp,gene_name,product,operon,TF,link
b1856,0.185631946033,mepM,murein DD-endopeptidase MepM,mepM,oxyR,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1823,0.16389746709699998,cspC,"stress protein, member of the CspA family","yobF, cspC","Sigma70, crp, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG12204
b1847,0.15685592622400002,yebF,putative protein,yebF,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11807
b1850,0.156351228666,eda,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,"edd, eda","Sigma70, cra, gntR, kdgR, phoB",https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b1829,0.155465600165,htpX,"heat shock protein, integral membrane protein",htpX,Sigma32,https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b1854,0.154024063735,pykA,pyruvate kinase II,pykA,"Sigma70, fnr",https://ecocyc.org/gene?orgid=ECOLI&id=EG10803
b1832,0.15098279205700002,msrC,free methionine-(<i>R</i>)-sulfoxide reductase,msrC,,https://ecocyc.org/gene?orgid=ECOLI&id=G7005
b1827,0.145639277481,kdgR,KdgR DNA-binding transcriptional repressor,kdgR,,https://ecocyc.org/gene?orgid=ECOLI&id=G7003
b1852,0.141843160638,zwf,glucose-6-phosphate dehydrogenase (NADP<sup>+</sup>),zwf,"Sigma70, cra, fnr, fur, marA, rob, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11221
b1830,0.13857996010399998,prc,tail-specific protease,"proQ, prc",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10760
b1853,0.137235331244,yebK,YebK DNA-binding transcriptional repressor,yebK,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12860
b1855,0.13302747763599998,lpxM,myristoyl-acyl carrier protein (ACP)-dependent acyltransferase,lpxM,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10614
b1831,0.130603193588,proQ,"RNA chaperone, involved in posttranscriptional control of ProP levels","proQ, prc",,https://ecocyc.org/gene?orgid=ECOLI&id=EG12866
b1848,0.12915828548699998,yebG,conserved protein regulated by LexA,yebG,"Sigma70, lexA",https://ecocyc.org/gene?orgid=ECOLI&id=EG11808
b1841,0.128846959473,yobA,conserved protein,"yobA, yebZ, yebY","fnrS, nac, ydcI",https://ecocyc.org/gene?orgid=ECOLI&id=G7014
b1849,0.12782152925999998,purT,phosphoribosylglycinamide formyltransferase 2,purT,purR,https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b1844,0.127795339605,exoX,exonuclease X,"yobB, exoX",,https://ecocyc.org/gene?orgid=ECOLI&id=G7016
b1822,0.12036316941500001,rlmA,23S rRNA m<sup>1</sup>G745 methyltransferase,rlmA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12207
b1839,0.11846427041400001,yebY,putative protein,"yobA, yebZ, yebY",nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7012
b1840,0.117125496912,yebZ,predicted inner membrane protein,"yobA, yebZ, yebY",nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7013
b1836,0.115871532226,yebV,putative protein,yebV,,https://ecocyc.org/gene?orgid=ECOLI&id=G7009
b1824,0.112434482222,yobF,small protein involved in stress responses,"yobF, cspC","Sigma70, crp, nac, oxyS, ydcI",https://ecocyc.org/gene?orgid=ECOLI&id=G7000
b1834,0.11198887153100001,yebT,conserved protein,"yebS, yebT",,https://ecocyc.org/gene?orgid=ECOLI&id=G7007
b1846,0.111669593136,yebE,conserved inner membrane protein,yebE,"Sigma70, cpxR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11806
b1845,0.110161683665,ptrB,oligopeptidase B,ptrB,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11004
b1843,0.105417105459,yobB,conserved protein,"yobB, exoX",,https://ecocyc.org/gene?orgid=ECOLI&id=G7015
b1833,0.103349836359,yebS,conserved inner membrane protein,"yebS, yebT",,https://ecocyc.org/gene?orgid=ECOLI&id=G7006
b1835,0.10055890084699999,rsmF,16S rRNA m<sup>5</sup>C1407 methyltransferase,rsmF,,https://ecocyc.org/gene?orgid=ECOLI&id=G7008
b1825,0.09963369605860001,yebO,putative protein,yebO,,https://ecocyc.org/gene?orgid=ECOLI&id=G7001
b1851,0.0983954190835,edd,phosphogluconate dehydratase,"edd, eda","Sigma70, cra, gntR, kdgR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
b4536,0.09715036776010001,yobH,putative protein,yobH,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b1842,0.0970632960908,holE,"DNA polymerase III, &theta; subunit",holE,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11505
b1837,0.0911331777837,yebW,putative protein,yebW,,https://ecocyc.org/gene?orgid=ECOLI&id=G7010
b1838,0.08283727196860001,pphA,phosphoprotein phosphatase 1,pphA,Sigma32,https://ecocyc.org/gene?orgid=ECOLI&id=G7011
b1826,0.0770425549747,mgrB,negative feedback regulator of the PhoQP system,mgrB,phoP,https://ecocyc.org/gene?orgid=ECOLI&id=G7002
b0508,-0.06463374429089999,hyi,hydroxypyruvate isomerase,"gcl, hyi, glxR, ybbW, allB, ybbY, glxK","Sigma70, allR",https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b3526,-0.0769108862907,kdgK,2-keto-3-deoxygluconokinase,kdgK,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12253
b1597,-0.10146241901799999,asr,acid shock protein,asr,"Sigma38, gadX, h-NS, phoB, rcdA, rstA",https://ecocyc.org/gene?orgid=ECOLI&id=G6855
b2842,-0.147567227289,kduD,predicted 2-keto-3-deoxy-D-gluconate dehydrogenase,kduD,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12361
b2843,-0.165102114537,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,kduI,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7463
b3909,-0.177635314819,kdgT,2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter,kdgT,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11869
