locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ppGpp,link
b2014,0.16210303680000002,plaP,putrescine:H(+) symporter PlaP,Amino acid transport and metabolism,plaP,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11896
b0835,0.1264523507,rimO,ribosomal protein S12 methylthiotransferase RimO,"Translation, ribosomal structure and biogenesis",rimO,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6435
b2069,0.1221442616,yegD,HSP70 family protein YegD,"Post-translational modification, protein turnover,and chaperones",yegD,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12200
b3084,0.11789139430000001,rlmG,23S rRNA m(2)G1835 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmG,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7603
b2081,0.1144546278,yegQ,putative peptidase YegQ,"Post-translational modification, protein turnover,and chaperones",yegQ,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7118
b4469,0.1119643995,ygiQ,radical SAM superfamily protein YgiQ,Energy production and conversion,ygiQ,"YdcN,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7568
b1126,0.1116860143,potA,spermidine preferential ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,potABCD,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10749
b1125,0.11017780860000001,potB,spermidine preferential ABC transporter membrane subunit PotB,Inorganic ion transport and metabolism,potABCD,"YeiE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10750
b2533,0.1020949879,suhB,inositol-phosphate phosphatase,Carbohydrate transport and metabolism,suhB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10983
b4155,0.1011054881,epmA,EF-P-lysine lysyltransferase,"Translation, ribosomal structure and biogenesis",epmA,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11211
b3260,0.1009851481,dusB,tRNA-dihydrouridine synthase B,"Translation, ribosomal structure and biogenesis",dusB-fis,"RpoD,ppGpp,Crp,IHF,Fis,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11311
b0797,0.0937824039,rhlE,ATP-dependent RNA helicase RhlE,Nucleotide transport and metabolism,rhlE,"ppGpp,CecR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11235
b4557,0.0923344562,yidD,membrane protein insertion efficiency factor,Function unknown,yidD,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10470
b1722,0.0905774729,ydiY,acid-inducible putative outer membrane protein YdiY,Cell wall/membrane/envelope biogenesis,ydiY,"YdcN,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6928
b2576,0.0900442399,srmB,ATP-dependent RNA helicase SrmB,Nucleotide transport and metabolism,srmB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10975
b0807,0.0888739102,rlmF,23S rRNA m(6)A1618 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmF,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6416
b0945,0.0875185005,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,pyrD,"RpoD,PurR,Fis,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
b0905,0.0867132722,ycaO,ribosomal protein S12 methylthiotransferase accessory factor YcaO,Function unknown,ycaO,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6468
b2562,0.08654491140000001,yfhL,putative 4Fe-4S cluster-containing protein YfhL,Energy production and conversion,yfhL,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7346
b1786,0.08529457900000001,dgcJ,putative diguanylate cyclase DgcJ,Signal transduction mechanisms,dgcJ,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6972
b3261,0.08425974630000001,fis,DNA-binding transcriptional dual regulator Fis,Transcription,dusB-fis,"RpoD,ppGpp,Crp,IHF,Fis,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10317
b1269,0.0830259923,rluB,23S rRNA pseudouridine(2605) synthase,"Translation, ribosomal structure and biogenesis",rluB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12433
b0859,0.0808669971,rlmC,23S rRNA m(5)U747 methyltransferase,"Translation, ribosomal structure and biogenesis",ybjO-rlmC,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6449
b0120,0.08058747790000001,speD,S-adenosylmethionine decarboxylase proenzyme,Nucleotide transport and metabolism,yacC-speED,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10962
b0121,0.07932125870000001,speE,spermidine synthase,Amino acid transport and metabolism,yacC-speED,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10963
b3364,0.0791351441,tsgA,putative transporter TsgA,Carbohydrate transport and metabolism,tsgA,"NsrR,ppGpp,OmpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11262
b3471,0.0783686639,yhhQ,putative queuosine precursor transporter,"Intracellular trafficking, secretion, and vesicular transport",yhhQ,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12217
b0059,0.0772422138,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,rapA-rluA,"RpoD,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11083
b0405,0.0756318361,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,Nucleotide transport and metabolism,queA,"ppGpp,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10812
b0469,0.0729481064,apt,adenine phosphoribosyltransferase,Nucleotide transport and metabolism,apt,"RpoD,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10051
b2140,0.07264777210000001,dusC,tRNA-dihydrouridine(16) synthase,"Translation, ribosomal structure and biogenesis",dusC,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12022
b1281,0.0721056534,pyrF,orotidine-5'-phosphate decarboxylase,Nucleotide transport and metabolism,lapAB-pyrF-yciH,"RpoD,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10809
b2498,0.0720741345,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b3643,0.0714554352,rph,truncated RNase PH,"Translation, ribosomal structure and biogenesis",,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10863
b1835,0.0713253116,rsmF,16S rRNA m(5)C1407 methyltransferase,"Translation, ribosomal structure and biogenesis",rsmF,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7008
b3741,0.0708425686,mnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,"Cell cycle control, cell division, chromosome partitioning",asnC-mioC-mnmG-rsmG,"RpoD,RpoS,AsnC,Nac,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10375
b1124,0.07068673040000001,potC,spermidine preferential ABC transporter membrane subunit PotC,Inorganic ion transport and metabolism,potABCD,"YeiE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10751
b0477,0.0697364649,gsk,inosine/guanosine kinase,Nucleotide transport and metabolism,gsk,"YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11102
b1069,0.0668854948,murJ,putative lipid II flippase MurJ,Function unknown,murJ,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6561
b1660,0.06616611110000001,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
b1628,0.06579228720000001,rsxB,SoxR [2Fe-2S] reducing system protein RsxB,Energy production and conversion,ydgK-rsxABCDGE-nth,"YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6872
b1282,0.0651302533,yciH,putative translation factor,"Translation, ribosomal structure and biogenesis",lapAB-pyrF-yciH,"RpoD,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11128
b1915,0.0649762418,yecF,DUF2594 domain-containing protein YecF,Function unknown,yecF,"FliA,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12861
b1343,0.0643594426,dbpA,ATP-dependent RNA helicase DbpA,Nucleotide transport and metabolism,dbpA,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10210
b2156,0.0638582778,lysP,lysine:H(+) symporter,Amino acid transport and metabolism,lysP,"RpoD,ppGpp,ArgP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11337
b1549,0.0630374506,ydfO,Qin prophage%3B protein YdfO,Amino acid transport and metabolism,ynfO-ydfO,"ppGpp,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6822
b2517,0.0625296493,rlmN,23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmN,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12401
b3778,0.0616587179,rep,ATP-dependent DNA helicase Rep,"Replication, recombination and repair",rep,"RpoD,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10837
b3492,0.059983736600000004,yhiN,putative oxidoreductase YhiN,Function unknown,yhiN,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12229
b1627,0.059811272500000005,rsxA,SoxR [2Fe-2S] reducing system protein RsxA,Energy production and conversion,ydgK-rsxABCDGE-nth,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6871
b1807,0.0590862787,tsaB,N(6)-L-threonylcarbamoyladenine synthase%2C TsaB subunit,"Post-translational modification, protein turnover,and chaperones",tsaB-yeaY,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6991
b0661,0.058879917000000004,miaB,isopentenyl-adenosine A37 tRNA methylthiolase,"Translation, ribosomal structure and biogenesis",miaB,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6364
b0635,0.0581096965,mrdA,peptidoglycan DD-transpeptidase MrdA,Cell wall/membrane/envelope biogenesis,rsfS-rlmH-mrdAB-rlpA,"YeiE,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10606
b0820,0.0574043196,ybiT,ABC transporter ATP-binding protein YbiT,Function unknown,ybiT,"YidZ,Crp,ppGpp,AscG,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6423
b1605,0.057392607000000005,ydgI,putative arginine:ornithine antiporter,Amino acid transport and metabolism,ydgI-folM,"ppGpp,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6861
b3704,0.0572541117,rnpA,RNase P protein component,"Translation, ribosomal structure and biogenesis",rpmH-rnpA,"rnpB,YidZ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10862
b1435,0.056913184400000004,rlhA,23S rRNA 5-hydroxycytidine C2501 synthase,"Post-translational modification, protein turnover,and chaperones",rlhA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6746
b0637,0.056809834000000003,rsfS,ribosomal silencing factor RsfS,"Translation, ribosomal structure and biogenesis",rsfS-rlmH-mrdAB-rlpA,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11255
b1133,0.056204851400000005,mnmA,tRNA-specific 2-thiouridylase,"Translation, ribosomal structure and biogenesis",mnmA,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11344
b2344,0.055765618700000005,fadL,long-chain fatty acid outer membrane channel/bacteriophage T2 receptor,Cell wall/membrane/envelope biogenesis,fadL,"PhoP,YbiH,RpoS,Crp,ArcA,ppGpp,OmpR,FadR,Lrp,rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10280
b1047,0.0552636145,opgC,protein required for succinyl modification of osmoregulated periplasmic glucans,Lipid transport and metabolism,opgC,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6552
b1821,0.0551315624,mntP,Mn(2(+)) exporter,Inorganic ion transport and metabolism,mntP,"RpoD,Fur,MntR,ppGpp,Mn2",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6999
b3662,0.0535808974,nepI,purine ribonucleoside exporter,Amino acid transport and metabolism,nepI,SoxS,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11689
b0010,0.0528548194,satP,acetate/succinate:H(+) symporter,Function unknown,satP,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11512
b1123,0.0523181136,potD,spermidine preferential ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,potABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10752
b3214,0.0519769956,gltF,periplasmic protein GltF,Cell motility,gltBDF,"RpoD,YeiE,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,Lrp,IHF,HdfR,GadE,LeuO,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11514
b0636,0.0506029811,rlmH,23S rRNA m(3)psi1915 methyltransferase,"Translation, ribosomal structure and biogenesis",rsfS-rlmH-mrdAB-rlpA,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11254
b0058,0.0503859893,rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis",rapA-rluA,"RpoD,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12609
