locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA4637a,0.17364889,PA4637a,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4637a&e1=1&assembly=complete
PA3865a,0.16736525100000002,PA3865a,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3865a&e1=1&assembly=complete
PA2458,0.157469049,PA2458,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2458&e1=1&assembly=complete
PA0823,0.14494051400000002,PA0823,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0823&e1=1&assembly=complete
PA4351,0.136918868,PA4351,,acyltransferase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4351&e1=1&assembly=complete
PA2287,0.107423102,PA2287,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2287&e1=1&assembly=complete
PA3545,0.10505199600000001,algG,,alginate-c5-mannuronan-epimerase AlgG,Inorganic ion transport and metabolism,PA1226,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3545&e1=1&assembly=complete
PA2763a,0.10452427800000001,PA2763a,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2763a&e1=1&assembly=complete
PA4382,0.103167534,PA4382,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4382&e1=1&assembly=complete
PA2319,0.10120909900000001,PA2319,,transposase,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2319&e1=1&assembly=complete
PA2919,0.098632995,PA2919,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2919&e1=1&assembly=complete
PA1933,0.09228539300000001,PA1933,,hydroxylase large subunit,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1933&e1=1&assembly=complete
PA5541,0.090548602,pyrQ,,dihydroorotase,Nucleotide transport and metabolism,Zur,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5541&e1=1&assembly=complete
PA5566,0.08736117700000001,PA5566,,hypothetical protein,Carbohydrate transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5566&e1=1&assembly=complete
PA3993,0.08507818,PA3993,,transposase,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3993&e1=1&assembly=complete
PA4128,0.083823773,PA4128,,2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase,Carbohydrate transport and metabolism,RsmA,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4128&e1=1&assembly=complete
PA1938,0.083606978,PA1938,,hypothetical protein,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1938&e1=1&assembly=complete
PA2441,0.08175528,PA2441,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2441&e1=1&assembly=complete
PA0202,0.08103888000000001,PA0202,,amidase,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0202&e1=1&assembly=complete
PA0842,0.073774222,PA0842,,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0842&e1=1&assembly=complete
PA2768,0.073646285,PA2768,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2768&e1=1&assembly=complete
PA1154,0.07331723,PA1154,,hypothetical protein,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1154&e1=1&assembly=complete
PA1347,0.072628681,PA1347,,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1347&e1=1&assembly=complete
PA1112a,0.07162513300000001,PA1112a,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1112a&e1=1&assembly=complete
PA1919,0.069909629,nrdG,,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",NrdR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1919&e1=1&assembly=complete
PA1824,0.069462428,PA1824,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1824&e1=1&assembly=complete
PA4990,0.068705271,PA4990,,SMR multidrug efflux transporter,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4990&e1=1&assembly=complete
PA0824,0.06854160200000001,PA0824,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0824&e1=1&assembly=complete
PA0989,0.068177423,PA0989,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0989&e1=1&assembly=complete
PA2878,0.067465465,PA2878,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2878&e1=1&assembly=complete
