locus,gene_weight,gene_name,gene_product,cog,regulator,argR,link
STM2469,0.2631210082,eutP,putative ethanolamine utilization protein,Amino acid transport and metabolism,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2469
STM2468,0.24011771780000002,eutQ,putative ethanolamine utilization protein,Amino acid transport and metabolism,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2468
STM2464,0.23995195500000002,eutN,putative detox protein in ethanolamine utilization,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2464
STM2470,0.2391483277,eutS,putative ethanol utilization carboxysome structural protein,Amino acid transport and metabolism,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2470
STM2465,0.23376748260000002,eutM,putative detox protein in ethanolamine utilization,Energy production and conversion,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2465
STM2467,0.2328359235,eutT,putative ethanolamine utilization cobalamin adenosyltransferase,Amino acid transport and metabolism,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2467
STM2466,0.2255812431,eutD,putative phosphotransacetylase in ethanolamine utilization,Energy production and conversion,argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2466
STM2462,0.22129611200000002,eutJ,putative heatshock protein (Hsp70),Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2462
STM2463,0.2047415448,eutE,putative aldehyde oxidoreductase in ethanolamine utilization,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2463
STM2461,0.1928945646,eutG,putative transport protein in ethanolamine utilization,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2461
STM2458,0.1420364678,eutB,ethanolamine ammonia-lyase%2C heavy chain,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2458
STM2457,0.1400213206,eutC,ethanolamine ammonia-lyase%2C light chain,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2457
STM2460,0.1337247982,eutH,putative transport protein,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2460
STM2459,0.1265207726,eutA,CPPZ-55 prophage protein,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2459
STM2455,0.1056646611,eutK,putative carboxysome structural protein,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2455
