locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NarL,Fnr,link
b2207,0.28047840420000003,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2208,0.23048990390000001,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b1223,0.19022810850000002,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1224,0.15769047930000002,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b3365,0.11150133100000001,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3211,0.0708252227,yhcC,radical SAM family oxidoreductase YhcC,Function unknown,yhcC,"YihW,YahB,YjhI,YhjC,YiaU,YedW,ArgR,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7669
b3476,0.06669554030000001,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
b4070,0.0646226443,nrfA,cytochrome c552 nitrite reductase,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,ppGpp,IHF,NsrR,NarL,NarP,Fis,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
b4076,-0.0636279335,nrfG,putative formate-dependent nitrite reductase complex subunit NrfG,"Post-translational modification, protein turnover,and chaperones",nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11950
b1452,-0.0680856652,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1552,-0.0685433818,cspI,Qin prophage%3B cold shock protein CspI,Transcription,cspI,"Fis,BasR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6825
