locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Thiamine diphosphate,link
b3993,0.3061397152,thiE,thiamine phosphate synthase,Coenzyme transport and metabolism,thiCEFSGH,"YdcN,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11586
b3992,0.3039731225,thiF,ThiS adenylyltransferase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11587
b3994,0.3010709476,thiC,phosphomethylpyrimidine synthase,Coenzyme transport and metabolism,thiCEFSGH,"Lrp,ArcA,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11585
b3990,0.2997792487,thiH,2-iminoacetate synthase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11590
b3991,0.2854190917,thiG,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11589
b4407,0.2549696177,thiS,sulfur carrier protein ThiS,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=G1
b2104,0.21614340880000002,thiM,hydroxyethylthiazole kinase,Nucleotide transport and metabolism,thiMD,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=M007
b2103,0.19818614010000002,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Coenzyme transport and metabolism,thiMD,"YeiE,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7135
b0068,0.1339013627,thiB,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,SgrR,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11574
b0067,0.1271477524,thiP,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,YcjW,ppGpp,SgrR,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11573
b0066,0.09032772010000001,thiQ,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,ppGpp,SgrR,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11572
