locus,gene_weight,gene_name,gene_product,cog,operon,regulator,DksA,RplD,ArcA,Fnr,link
b3312,0.16078206620000002,rpmC,50S ribosomal subunit protein L29,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10887
b3316,0.14421050570000002,rpsS,30S ribosomal subunit protein S19,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10918
b3315,0.1391394587,rplV,50S ribosomal subunit protein L22,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10882
b3313,0.1344565604,rplP,50S ribosomal subunit protein L16,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10877
b3317,0.1283838812,rplB,50S ribosomal subunit protein L2,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10865
b3314,0.125525608,rpsC,30S ribosomal subunit protein S3,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10902
b3311,0.1227750974,rpsQ,30S ribosomal subunit protein S17,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10916
b3318,0.1207866736,rplW,50S ribosomal subunit protein L23,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10883
b3319,0.1083700643,rplD,50S ribosomal subunit protein L4,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10867
b3320,0.1046119925,rplC,50S ribosomal subunit protein L3,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,YqhC,YihW,YebK,YhjC,YedW,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10866
b3321,0.1039029108,rpsJ,30S ribosomal subunit protein S10,"Translation, ribosomal structure and biogenesis",rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,"RpoD,YdhB,ArcA,Fnr,ppGpp,RplD,DksA",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10909
