locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,XisF4,link
PA0723,0.29757545700000004,coaB,,phage coat protein B,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0723&e1=1&assembly=complete
PA0722,0.286205849,PA0722,,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0722&e1=1&assembly=complete
PA0718,0.281797621,PA0718,,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0718&e1=1&assembly=complete
PA0720,0.27950655700000004,PA0720,,helix destabilizing protein of bacteriophage Pf1,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0720&e1=1&assembly=complete
PA0719,0.27364040900000003,PA0719,,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0719&e1=1&assembly=complete
PA0725,0.24318265100000003,PA0725,,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0725&e1=1&assembly=complete
PA0721,0.22635690300000003,PA0721,,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0721&e1=1&assembly=complete
PA0724,0.21382962600000002,PA0724,,phage coat protein A,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0724&e1=1&assembly=complete
PA0726,0.20416583400000002,PA0726,,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0726&e1=1&assembly=complete
PA0727,0.165009551,PA0727,,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0727&e1=1&assembly=complete
PA0728,0.11376480500000001,PA0728,,bacteriophage integrase,"Replication, recombination and repair",XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0728&e1=1&assembly=complete
