locus,gene_weight,gene_name,gene_product,cog,regulator,CsqR,link
b3882,0.3218075371995333,yihU,3-sulfolactaldehyde reductase,Lipid transport and metabolism,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11847
b3881,0.318247348157637,yihT,6-deoxy-6-sulfofructose-1-phosphate aldolase,Carbohydrate transport and metabolism,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11846
b3880,0.3001757190620627,yihS,sulfoquinovose isomerase,Carbohydrate transport and metabolism,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11845
b3879,0.2897617846792688,yihR,putative aldose 1-epimerase YihR,Carbohydrate transport and metabolism,YneJ,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11844
b3878,0.2885813892490165,yihQ,sulfoquinovosidase,Carbohydrate transport and metabolism,"YdcN,YidZ,YbhD,YgfI,YdhB,YcaN,YdiP,YbeF,YjhI,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11843
b3875,0.2708130455902897,ompL,putative outer membrane porin L,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7814
b3877,0.2667805260201707,yihP,putative 2%2C3-dihydroxypropane-1-sulfonate export protein,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11842
b3883,0.2446504713752331,yihV,6-deoxy-6-sulfofructose kinase,Nucleotide transport and metabolism,"RpoD,YihW,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11848
b3876,0.2300634467486578,yihO,putative sulfoquinovose transporter,Carbohydrate transport and metabolism,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11841
b3884,0.1122745517189039,csqR,putative DNA-binding transcriptional regulator YihW,Transcription,"RpoD,Crp,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11849
