locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ZntR,CueR,Zur,link
b1973,0.5269479159,zinT,metal-binding protein ZinT,Function unknown,zinT,"RpoD,OxyR,SoxS,Zur,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7061
b0296,0.4385100716,ykgM,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6167
b4506,0.422782708,ykgO,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b1857,0.3334762284,znuA,Zn(2(+)) ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,znuA,"OxyR,RpoS,Zur,OmpR,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7017
b1178,0.2226567701,pliG,inhibitor of g-type lysozyme,Function unknown,pliG,"GlaR,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6615
b1856,0.1918731565,mepM,peptidoglycan DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,mepM,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1858,0.1538206185,znuC,Zn(2(+)) ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7018
b1859,0.14764824140000002,znuB,Zn(2(+)) ABC transporter membrane subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12368
b1974,0.1381179093,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b0484,0.0545082536,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,copA,"RpoD,OmpR,CueR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.047096442700000005,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",cueO,"ryhB,CueR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b3469,-0.12487483740000001,zntA,Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,Inorganic ion transport and metabolism,zntA,"RpoD,ZntR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
